Description,Label
"My partner got really mad last night and started yelling. They hit me in the face a lot, and now I have bruises and a swollen eye.",physical
"I've been going through physical abuse for a few weeks. My partner holds me, hits me with a belt, and threatens me with a knife. I'm scared for my life.",physical
"There's a pattern of violence in my relationship. My partner pushes and shoves me. Last week, they grabbed my throat, and it was hard to breathe.",physical
"I have injuries on my arms and legs from the abuse. My partner uses force to control me, leaving me with cuts and bruises. I'm scared to seek help.",physical
"My partner has been hitting me during arguments. I now have visible injuries, and I'm living in constant fear. I don't know how to break free.",physical
"There's a history of violence in my relationship. My partner becomes aggressive, leaving me with injuries. The emotional toll is immense, and I feel helpless.",physical
"I've been enduring abuse for months. My partner uses weapons like a bat to threaten me. The injuries are getting worse, and I feel isolated and trapped.",physical
"During arguments, my partner becomes aggressive, punching and kicking me. The bruises are visible, and I'm scared for my safety. I don't know where to turn.",physical
"Physical violence happens often in my relationship. My partner uses their strength to hurt me. The emotional scars are deep, and I feel desperate to find a way out.",physical
"I've been enduring abuse for years. My partner hits me and uses objects to hurt me. The emotional trauma is overwhelming, and I fear for my life every day.",physical
"My partner forcefully twisted my arm during an argument, causing intense pain. I fear for my safety.",physical
"Last night, my partner slapped me multiple times, leaving my face swollen. The physical abuse is getting worse.",physical
"I was shoved against furniture during an altercation with my partner, resulting in visible injuries.",physical
"My partner threw me to the ground and kicked me yesterday. I'm in pain and don't know how to escape.",physical
"I have burn marks from my partner intentionally causing harm. The physical and emotional toll is unbearable.",physical
"I endure physical abuse regularly, including hair-pulling and biting. I feel trapped and isolated.",physical
"My partner uses physical confinement, locking me in a room during arguments. I'm scared and need help.",physical
"I've been enduring physical violence for years. My partner uses objects to inflict harm and control me.",physical
"Yesterday, my parent got really mad during an argument. They slapped me a lot, and now my face hurts and looks swollen. I'm scared about what might happen next.",physical
"My older sibling threw things at me last week when we were fighting. I ended up with bruises on my arms and legs. I'm feeling really scared all the time.",physical
"I had a bad argument with my partner and their parent. They grabbed my arm really hard, and it hurt a lot. They also pushed me against the wall. I'm feeling overwhelmed and desperate to get out of this situation.",physical
"My parent has been hitting me for a long time. The last time, it left me with injuries, and I'm really scared. It's hard to ask for help because of the threats.",physical
"My sibling uses a belt to hit me, and it's really scary. The marks on my body remind me of the emotional pain I'm going through. I'm living in constant fear.",physical
"I'm in a relationship where my partner and their parent are using physical restraint to control me. It's painful and makes me feel powerless. I don't know how to escape from this situation.",physical
"Last night, I got into a fight with a family member, and it resulted in a black eye. The pain is not just physical; emotionally, it's really hard. I need help to break free from this cycle of abuse.",physical
"My parent has been physically hurting me for a long time. They use restraints to control me, and it's really hard to deal with the pain and emotional scars.",physical
"My sibling gets physically aggressive during arguments, and I end up with injuries. It's really scary, and I don't know how to stop it.",physical
"My partner and their parent are dominating me physically, and it's creating a lot of fear and desperation. I have visible bruises, but it's the emotional scars that hurt the most.",physical
"During an argument, my partner forced me to do things I didn't want to. They touched me inappropriately, and it felt really scary. I said 'no,' but they didn't listen.",sexual
"Last week, I was sexually assaulted by my family member. It was really painful, and I didn't know what to do. I feel trapped and scared.",sexual
"I've been experiencing sexual harassment in my relationship. My partner makes unwanted advances, and it's making me feel really uncomfortable and fearful.",sexual
"I was coerced into unwanted sexual acts by my partner. They manipulated me, and I felt pressured and scared. It's affecting me emotionally.",sexual
"My family member forced me into indecent exposure, and it's really distressing. I tried saying 'no,' but they threatened me. I need help to get out of this situation.",sexual
"I've been a victim of incest within my family. The sexual abuse has been ongoing, and it's causing deep emotional pain. I don't know how to escape from this.",sexual
"I was sexually assaulted by my partner, and the trauma is overwhelming. I need support to deal with the pain and fear.",sexual
"My partner has been groping me without my consent. It's really uncomfortable and makes me feel violated. I'm scared of what might happen next.",sexual
"I experienced sexual coercion within my relationship. My partner pressured me into things I didn't want to do, and it's affecting my mental well-being.",sexual
"I faced unwanted sexual comments from my family member. It's verbal harassment, and it's making me feel really distressed and unsafe.",sexual
"My partner did things to me that made me really uncomfortable. They touched me in ways I didn't like and didn't listen when I said 'no.' It felt scary and wrong. I want help.",sexual
"A family member did something really bad to me last week. They hurt me in a way that was not okay. I feel trapped and scared. I need someone to help me.",sexual
